Scheduler,Makespan,TotalCost,TotalEnergy
FCFS,518.5557,18.2396,13.2105
Round Robin,518.5557,18.2396,13.2105
GA,205.5907,15.1040,11.5554
PSO,301.8930,18.2444,11.3382
HPSO-SA,282.7289,18.9009,11.6512
HGA-SA,203.4864,14.9396,12.0858
test1,299.7888,16.3347,11.7515
test2,179.2858,13.6159,11.2151
