Scheduler,Makespan,TotalCost,TotalEnergy
FCFS,349.1527,15.2301,11.5229
Round Robin,349.1527,15.2301,11.5229
GA,141.8611,13.0579,9.9497
PSO,181.8574,13.9330,9.6337
HPSO-SA,210.0081,16.5728,10.9640
HGA-SA,124.4997,12.6288,10.5416
test1,187.6547,14.7160,8.8115
test2,135.4954,12.2874,9.1121
