Scheduler,Makespan,TotalCost,TotalEnergy
FCFS,83.1585,3.7216,2.5237
Round Robin,83.1585,3.7216,2.5237
GA,19.4504,2.5518,1.9998
BasePaper(GA),21.2100,2.2043,2.0585
PSO,26.3186,2.8077,2.3611
BasePaper(PSO),23.6302,3.5423,2.0293
test1,24.2571,2.2522,2.1582
test2,21.5365,2.0038,2.0641
