Scheduler,Makespan,TotalCost,TotalEnergy
FCFS,47.4847,1.9882,1.4289
Round Robin,47.4847,1.9882,1.4289
GA,11.2287,1.2271,1.0167
BasePaper(GA),12.1652,1.2361,0.9718
PSO,12.6030,1.0758,1.0726
BasePaper(PSO),14.6324,1.1154,1.0246
test1,12.7272,1.4538,0.8641
test2,11.2287,1.2271,1.0167
