Scheduler,Makespan,TotalCost,TotalEnergy
FCFS,307.4478,13.0079,9.6776
Round Robin,307.4478,13.0079,9.6776
GA,116.8892,9.8572,8.0048
PSO,176.0658,13.3525,8.2139
HPSO-SA,156.9652,11.8844,8.5675
HGA-SA,96.2574,9.6587,7.7878
test1,121.4667,11.0046,7.7993
test2,96.6273,10.1941,7.2122
