Scheduler,Makespan,TotalCost,TotalEnergy
FCFS,121.2964,6.2993,4.4251
Round Robin,121.2964,6.2993,4.4251
GA,42.8810,4.4556,3.6656
BasePaper(GA),35.3435,4.0313,3.4600
PSO,55.3705,5.7849,3.7985
BasePaper(PSO),69.1474,5.4873,3.2286
test1,50.0300,4.2837,3.8628
test2,36.6629,3.9853,3.4772
