Scheduler,Makespan,TotalCost,TotalEnergy
FCFS,187.0660,7.5324,5.0810
Round Robin,187.0660,7.5324,5.0810
GA,57.9123,5.7354,4.1608
BasePaper(GA),56.0250,5.3259,3.9831
PSO,80.5482,7.4826,4.4961
BasePaper(PSO),102.3044,6.9065,4.6097
test1,71.8926,5.7359,4.2269
test2,46.6996,5.3933,3.8915
