Scheduler,Makespan,TotalCost,TotalEnergy
FCFS,248.5275,10.0642,7.1948
Round Robin,248.5275,10.0642,7.1948
GA,80.2384,6.0887,6.6396
BasePaper(GA),85.6043,7.3261,5.6336
PSO,112.0374,9.2495,7.1802
BasePaper(PSO),135.7978,8.4683,6.2081
test1,110.6394,9.2828,5.5700
test2,73.4596,6.4894,5.6532
