Scheduler,Makespan,TotalCost,TotalEnergy
FCFS,294.3667,14.0617,10.0051
Round Robin,294.3667,14.0617,10.0051
GA,125.3815,11.0637,8.2771
PSO,150.3414,13.9262,8.5921
test1,142.7129,12.0835,8.4782
test2,106.2478,10.9689,8.3815
paper,182.0670,13.0772,9.2574
paperGA,115.4059,10.9640,8.4326
