Scheduler,Makespan,TotalCost,TotalEnergy
FCFS,422.7054,16.8508,12.0716
Round Robin,422.7054,16.8508,12.0716
GA,164.9444,14.3432,11.5514
PSO,234.5378,15.5516,10.8452
HPSO-SA,224.5415,18.1132,11.0359
HGA-SA,154.3207,14.1908,10.5703
test1,238.0183,17.5565,10.7530
test2,148.3938,11.8769,9.7595
